gene_symbol	standard_zscore	standard_zscore_abs	sample_rank_zscore	sample_rank_zscore_abs	cohort_robust_scale	cohort_robust_scale_abs	top50_all_methods
RNASE1	0.0088372507503868	0.0088372507503868	0.0074962146263598	0.0074962146263598	0.0169939605161895	0.0169939605161895	True
PTGFR	0.0087149471965169	0.0087149471965169	0.0078627386627311	0.0078627386627311	0.0126128026357066	0.0126128026357066	True
C3AR1	0.0075967510685933	0.0075967510685933	0.0071878995100902	0.0071878995100902	0.0065866616891134	0.0065866616891134	False
HTRA1	0.007165595915034	0.007165595915034	0.0064492803728891	0.0064492803728891	0.0089362635591995	0.0089362635591995	True
TMEM144	0.0070469753722595	0.0070469753722595	0.0069565137969033	0.0069565137969033	0.0076306330821716	0.0076306330821716	True
SIGLEC11	0.0070093922982092	0.0070093922982092	0.0069799987384506	0.0069799987384506	0.008351777293626	0.008351777293626	True
GAS6	0.0068984188287747	0.0068984188287747	0.0066319575630854	0.0066319575630854	0.0083896391245448	0.0083896391245448	True
UBXN2A	0.0068807774756679	0.0068807774756679	0.0075702651584378	0.0075702651584378	0.0091525143334938	0.0091525143334938	True
ANG	0.0067499638528013	0.0067499638528013	0.0065753771375347	0.0065753771375347	0.0087251413235973	0.0087251413235973	True
ASGR2	0.0067345442104057	0.0067345442104057	0.0057938597675816	0.0057938597675816	0.0069005962310703	0.0069005962310703	False
TNNT1	0.0066849975427607	0.0066849975427607	0.005002803456509	0.005002803456509	0.0101075452907581	0.0101075452907581	False
KIAA1324	-0.0066665639781137	0.0066665639781137	-0.0058920491109295	0.0058920491109295	-0.0077159774402983	0.0077159774402983	True
SLITRK4	0.0066449622740454	0.0066449622740454	0.0061934243441425	0.0061934243441425	0.0074629848521531	0.0074629848521531	True
ADORA2B	0.0066161074881887	0.0066161074881887	0.0058767168079432	0.0058767168079432	0.0095709746673321	0.0095709746673321	False
TNKS	-0.0065021132033378	0.0065021132033378	-0.0062730292141396	0.0062730292141396	-0.0059034564727156	0.0059034564727156	False
ZNF608	0.0064835383209038	0.0064835383209038	0.0065369778317214	0.0065369778317214	0.0157394345212517	0.0157394345212517	True
RNASE2	0.0064213782322258	0.0064213782322258	0.0050635943266945	0.0050635943266945	0.0057528258563946	0.0057528258563946	False
TGFBR2	-0.0064079500947247	0.0064079500947247	-0.0077700917339338	0.0077700917339338	-0.006926158831995	0.006926158831995	False
C1QC	0.006355204508977	0.006355204508977	0.0062663910968291	0.0062663910968291	0.0087698669846875	0.0087698669846875	True
TMEM45A	0.0063255925669276	0.0063255925669276	0.0045027207254885	0.0045027207254885	0.0082855052337644	0.0082855052337644	False
CYP1B1	0.0061106728012628	0.0061106728012628	0.0046243351294676	0.0046243351294676	0.0060186728424327	0.0060186728424327	False
GPR68	-0.0060784801306768	0.0060784801306768	-0.0060324941196316	0.0060324941196316	-0.0066900046420333	0.0066900046420333	False
SLC25A26	-0.0060712105539432	0.0060712105539432	-0.006368799059695	0.006368799059695	-0.0067768157661878	0.0067768157661878	False
APOBEC3B	0.0060280150177335	0.0060280150177335	0.0055909974425501	0.0055909974425501	0.0071597137224294	0.0071597137224294	False
ARG1	0.0060120630590954	0.0060120630590954	0.0053694113808332	0.0053694113808332	0.0048072572010254	0.0048072572010254	False
CD36	0.0060045049878134	0.0060045049878134	0.0039728085111044	0.0039728085111044	0.0075181282028921	0.0075181282028921	False
OLA1	0.0059952625020665	0.0059952625020665	0.0059982292456044	0.0059982292456044	0.0056635025970226	0.0056635025970226	False
RNASE4	0.0059757135596588	0.0059757135596588	0.0051869532808203	0.0051869532808203	0.0096908741698203	0.0096908741698203	False
TNFRSF14	-0.0059711854374647	0.0059711854374647	-0.0057565976597848	0.0057565976597848	-0.0065434362481794	0.0065434362481794	False
ASCL2	-0.0059538971301682	0.0059538971301682	-0.0055337625042846	0.0055337625042846	-0.0062358560072385	0.0062358560072385	False
KIAA1958	0.0059447398345834	0.0059447398345834	0.0057056892935242	0.0057056892935242	0.0070713507272464	0.0070713507272464	False
CD177	0.0059436204491368	0.0059436204491368	0.0065014336908293	0.0065014336908293	0.0050556383789188	0.0050556383789188	False
EBPL	0.0059199000558037	0.0059199000558037	0.0063330595204097	0.0063330595204097	0.0058208537011925	0.0058208537011925	False
CRISP3	0.0059067020044578	0.0059067020044578	0.0060360635771823	0.0060360635771823	0.0052947326560925	0.0052947326560925	False
PPP4R2	0.0059063352812335	0.0059063352812335	0.0061491745251102	0.0061491745251102	0.0060507959467666	0.0060507959467666	False
BRSK1	0.0058993737483024	0.0058993737483024	0.0061663748829578	0.0061663748829578	0.006872719625733	0.006872719625733	False
GJB6	0.0058974914140218	0.0058974914140218	0.0066525362327455	0.0066525362327455	0.0096465413944505	0.0096465413944505	True
