asset_id	dataset_id	asset_type	role	source_page_url	download_url	local_relpath	checksum_sha256	notes
GSE65682_expression	GSE65682	series_matrix	primary discovery cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65682	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65682/matrix/GSE65682_series_matrix.txt.gz	data/raw/geo/GSE65682/GSE65682_series_matrix.txt.gz	a4ba01c787235ed47591e97b0ef0de35efe885601f7a63a29cd45dfd24a32b97	Large ICU whole-blood microarray cohort used for model development and internal resampling
GSE95233_expression	GSE95233	series_matrix	external microarray validation cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95233	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95233/matrix/GSE95233_series_matrix.txt.gz	data/raw/geo/GSE95233/GSE95233_series_matrix.txt.gz	b27a9a84a3ed85b13bba77d955744be3a4676fd3a7cd80092bf277f73be761c0	Independent septic-shock plus healthy-control microarray cohort
GSE154918_expression	GSE154918	supplement_expression_matrix	RNA-seq transfer validation cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154918	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154918/suppl/GSE154918_Schughart_Sepsis_200320.txt.gz	data/raw/geo/GSE154918/GSE154918_Schughart_Sepsis_200320.txt.gz	4ebe8eaaf65505d22a2c99303e5cf3eb70011bfc4d71b37bc5db246aab889704	RNA-seq expression matrix used for cross-platform transfer evaluation
GSE154918_metadata	GSE154918	series_matrix_metadata	RNA-seq transfer validation cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154918	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154918/matrix/GSE154918_series_matrix.txt.gz	data/raw/geo/GSE154918/GSE154918_series_matrix.txt.gz	818aeee651d5a5de7a887970681a49e4c82909a15386a0f20210a4655be8e362	Sample-level processed metadata used for phenotype harmonization
GSE28750_expression	GSE28750	series_matrix	inflammatory confounding stress-test cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28750	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28750/matrix/GSE28750_series_matrix.txt.gz	data/raw/geo/GSE28750/GSE28750_series_matrix.txt.gz	c60534b7e9f82945fd676b0b87d12f622376c38bc0c79e93fe5956d98db748e0	Array cohort containing sepsis, post-surgical inflammation, and healthy controls
GPL570_annotation	NA	GEO_platform_annotation	array annotation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570&targ=self&view=data&form=text	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570&targ=self&view=data&form=text	data/raw/platforms/GPL570_annotation.txt.gz	413b1f6f44ac87d9070b0a75dc1c4cd8f6a2bf92bcc71b84fd1874ada0290cd4	GEO platform table used for conservative probe-to-gene mapping
GPL13667_annotation	NA	GEO_platform_annotation	array annotation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13667&targ=self&view=data&form=text	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13667&targ=self&view=data&form=text	data/raw/platforms/GPL13667_annotation.txt.gz	7d93e4b6ac6e622ecc3c717799ddf9e873e7531ca8ea784d254a08008d6212e0	GEO platform table used for conservative probe-to-gene mapping
