dataset_id	dataset_title	platform_id	experiment_type	geo_series_samples	mainline_included_n	mainline_excluded_n	included_labels	included_label_counts	excluded_labels	excluded_label_counts	analysis_role	task_membership	task_roles	output_genes	mapping_source	source_page_url	notes
GSE65682	Genome-wide blood transcriptional profiling in critically ill patients - MARS consortium	GPL13667	Expression profiling by array	802	359	443	healthy;infection_non_sepsis;noninfectious_inflammation;sepsis	healthy=42;infection_non_sepsis=191;noninfectious_inflammation=75;sepsis=51	unassigned	unassigned=443	primary_discovery	task_a:93(51+/42-);task_b:126(51+/75-);task_c:93(51+/42-)	task_a:primary_discovery;task_b:primary_discovery;task_c:microarray_discovery	11222	geo_platform_gene_symbol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65682	Large ICU whole-blood microarray cohort; primary discovery and internal resampling set
GSE95233	Fractalkine receptor CX3CR1 and leukocyte Ig-like receptor B2 LILRB2 are prognostic biomarkers in septic shock	GPL570	Expression profiling by array	124	73	51	healthy;septic_shock	healthy=22;septic_shock=51	septic_shock	septic_shock=51	external_validation	task_a:73(51+/22-);task_c:73(51+/22-)	task_a:external_validation;task_c:microarray_external	21815	geo_platform_gene_symbol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95233	Independent septic shock plus healthy-control array cohort for external validation
GSE154918	RNAseq analysis of blood from sepsis patients and healthy controls	GPL20301	Expression profiling by high throughput sequencing	105	91	14	healthy;infection_non_sepsis;sepsis;septic_shock	healthy=40;infection_non_sepsis=12;sepsis=20;septic_shock=19	unassigned	unassigned=14	cross_platform_validation	task_a:79(39+/40-);task_c:79(39+/40-)	task_a:cross_platform_validation;task_c:rnaseq_validation	19203	matrix_gene_symbol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154918	RNA-seq blood cohort for microarray-to-RNA-seq transfer validation; expression matrix lives in GEO supplementary file, while sample metadata was parsed from the series matrix
GSE28750	Development and Validation of a Novel Molecular Biomarker Diagnostic Test for the Early Detection of Sepsis	GPL570	Expression profiling by array	41	41	0	healthy;noninfectious_inflammation;sepsis	healthy=20;noninfectious_inflammation=11;sepsis=10			stress_test	task_a:30(10+/20-);task_b:21(10+/11-);task_c:30(10+/20-)	task_a:stress_test_support;task_b:confounding_stress_test;task_c:microarray_support	21815	geo_platform_gene_symbol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28750	Contains sepsis, post-surgical inflammation, and healthy controls for harder stress testing
