task_id	task_name	dataset_id	left_method	right_method	left_external_reference_strategy	right_external_reference_strategy	threshold_type	metric	estimate_left_minus_right	ci_lower	ci_upper	n_bootstrap	bootstrap_type	degenerate_resample_handling
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	balanced_accuracy	0.4490384615384615	0.398076923076923	0.48750000000000004	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	sensitivity	0.9230769230769231	0.8205128205128205	1.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	specificity	-0.025000000000000022	-0.07499999999999996	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	ppv				2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	npv	0.42224231464737794	0.3447347158631834	0.49367088607594933	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	default_0_5	predicted_positive_rate	0.46835443037974683	0.4177215189873418	0.5189873417721519	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	balanced_accuracy	0.46153846153846156	0.41025641025641024	0.5	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	sensitivity	0.9230769230769231	0.8205128205128205	1.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	specificity	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	ppv				2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	npv	0.4239034442154842	0.3447347158631834	0.49367088607594933	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	robust_scale_train_only	external_cohort_adaptive	training_only	train_cv_optimal	predicted_positive_rate	0.45569620253164556	0.4050632911392405	0.4936708860759494	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	balanced_accuracy	-0.02532051282051284	-0.06346153846153846	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	sensitivity	-0.02564102564102555	-0.07692307692307698	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	specificity	-0.025000000000000022	-0.07499999999999996	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	ppv	-0.027027027027026973	-0.08108108108108103	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	npv	-0.023809523809523725	-0.07086236933797907	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	default_0_5	predicted_positive_rate	0.0	-0.03797468354430378	0.03797468354430383	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	balanced_accuracy	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	sensitivity	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	specificity	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	ppv	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	npv	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	sample_rank_zscore	external_cohort_adaptive	sample_wise_rank_then_training_only	train_cv_optimal	predicted_positive_rate	0.0	0.0	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	standard_zscore_train_only	external_cohort_adaptive	training_only	default_0_5	balanced_accuracy	0.4490384615384615	0.398076923076923	0.48750000000000004	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	standard_zscore_train_only	external_cohort_adaptive	training_only	default_0_5	sensitivity	0.9230769230769231	0.8455128205128205	1.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	standard_zscore_train_only	external_cohort_adaptive	training_only	default_0_5	specificity	-0.025000000000000022	-0.07499999999999996	0.0	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	standard_zscore_train_only	external_cohort_adaptive	training_only	default_0_5	ppv				2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
task_a	sepsis_or_shock_vs_healthy	GSE154918	robust_scale_external_adaptive	standard_zscore_train_only	external_cohort_adaptive	training_only	default_0_5	npv	0.42224231464737794	0.35066176753491585	0.49367088607594933	2000	paired_stratified_percentile	positive_and_negative_classes_resampled_separately
