task_id	task_name	train_dataset	test_dataset	reference_size	reference_fraction	repeat	n_samples	n_positive	n_negative	strategy	preprocessing_method	external_reference_strategy	roc_auc	average_precision	balanced_accuracy	brier_score	predicted_positive_rate	median_score_negative	median_score_positive
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	18	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9545454545454546	0.011612867998819387	0.726027397260274	0.0005476329590987448	0.9999999923089976
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	19	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9705882352941176	0.03598371941763989	0.6575342465753424	3.660981508582705e-12	0.9999980708780396
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	20	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.00769103164565731	0.7123287671232876	2.4090907229860235e-05	0.9999999997455804
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	21	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8725490196078431	0.13830645728902413	0.5205479452054794	1.2987768747681323e-14	0.9855625000422682
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	22	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.008228742580257383	0.7123287671232876	0.0006068641154477591	0.9999999995519222
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	23	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.892156862745098	0.1292935442626332	0.547945205479452	9.188738324060859e-16	0.9955467860065296
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	24	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.803921568627451	0.25573730221582963	0.4246575342465753	1.45633768792362e-21	0.7000800017161999
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	25	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9803921568627452	0.020434306141477575	0.6712328767123288	1.7462876234394237e-07	0.9999857337539818
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	26	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.7941176470588236	0.25570968051395015	0.410958904109589	5.900094208599794e-21	0.8482792684159239
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	27	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.009118353965961239	0.7123287671232876	0.00041680155927680245	0.9999999164179548
