task_id	task_name	method	strategy	preprocessing_method	external_reference_strategy	evaluation_type	dataset_id	threshold_type	n_samples	n_positive	n_negative	threshold	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	balanced_accuracy	observed_positive_rate	predicted_positive_rate
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.17	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.18	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.19	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.2	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.21	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.22	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.23	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.24	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.25	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.26	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.27	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.28	37	38	2	2	0.9487179487179487	0.95	0.9487179487179487	0.95	0.9493589743589743	0.4936708860759494	0.4936708860759494
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.29	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.3	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.31	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.32	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.33	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.34	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
