method	strategy	preprocessing_method	external_reference_strategy	calibration_method	evaluation_type	dataset_id	n_samples	n_positive	n_negative	brier_score	calibration_intercept	calibration_slope	mean_predicted_probability	observed_positive_rate	expected_calibration_error	calibration_model
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE154918	79	39	40	0.0353427090534987	-0.2293454125336811	0.31455601415650636	0.499141254172592	0.4936708860759494	0.046647827234638124	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE28750	30	10	20	0.028130173726061657	-7.076018022669518	3.02228463677966	0.40072058193157667	0.3333333333333333	0.06738724859824338	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	isotonic	external	GSE95233	73	51	22	0.026634752742794445	9.558717966310123	0.9156159228825524	0.6641751613726775	0.6986301369863014	0.034454975613623796	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE154918	79	39	40	0.030219202468782347	0.6287014859875343	0.9794714210610543	0.47736551022617324	0.4936708860759494	0.03631461951903951	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE28750	30	10	20	0.004655906806341268	-2.399524512334981	3.6645467360298833	0.364049104859514	0.3333333333333333	0.03243265934702083	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	none	external	GSE95233	73	51	22	0.04308124134347594	29.92858486165504	5.61832032062444	0.6255956866372522	0.6986301369863014	0.07303445034904915	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	sigmoid	external	GSE154918	79	39	40	0.037461169752537424	0.03421385613247555	2.2283689700973786	0.5349464864681969	0.4936708860759494	0.07567449271351478	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	sigmoid	external	GSE28750	30	10	20	0.03538220634379663	-5.282558634736526	6.208525823477926	0.453324145427722	0.3333333333333333	0.1342601723971205	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	sigmoid	external	GSE95233	73	51	22	0.03804137828628681	21.22906928576752	10.213723137231945	0.5921582908042408	0.6986301369863014	0.1144408819918405	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	training_fold_only	isotonic	internal_cv	GSE65682	93	51	42	0.0011759297229496667	1.411434210706989	4.923481195810821	0.5471067014937153	0.5483870967741935	0.004863064792079024	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	training_fold_only	none	internal_cv	GSE65682	93	51	42	0.0010333173143945045	2.630123633703011	2.89518147338672	0.5449368658824684	0.5483870967741935	0.0042827597111355685	logistic_recalibration_on_logit_predicted_probability
robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	training_fold_only	sigmoid	internal_cv	GSE65682	93	51	42	0.003187550296588865	1.863567183323813	5.624360271893731	0.547899639630078	0.5483870967741935	0.029341618044751182	logistic_recalibration_on_logit_predicted_probability
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_fold_only	isotonic	internal_cv	GSE65682	93	51	42	0.0011759297229496667	1.411434210706989	4.923481195810821	0.5471067014937153	0.5483870967741935	0.004863064792079024	logistic_recalibration_on_logit_predicted_probability
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_fold_only	none	internal_cv	GSE65682	93	51	42	0.0010333173143945045	2.630123633703011	2.89518147338672	0.5449368658824684	0.5483870967741935	0.0042827597111355685	logistic_recalibration_on_logit_predicted_probability
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_fold_only	sigmoid	internal_cv	GSE65682	93	51	42	0.003187550296588865	1.863567183323813	5.624360271893731	0.547899639630078	0.5483870967741935	0.029341618044751182	logistic_recalibration_on_logit_predicted_probability
robust_scale_train_only	robust_scale_train_only	cohort_robust_scale	training_only	isotonic	external	GSE154918	79	39	40	0.4936708860759494			0.0	0.4936708860759494	0.4936708860759494	logistic_recalibration_on_logit_predicted_probability
