dataset_id	title	experiment_type	sample_count	role	source_page_url	matrix_url	local_relpath	status	checksum_sha256	notes
GSE65682	Genome-wide blood transcriptional profiling in critically ill patients - MARS consortium	Expression profiling by array	802	primary_discovery_training	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65682	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65682/matrix/GSE65682_series_matrix.txt.gz	data/raw/geo/GSE65682/GSE65682_series_matrix.txt.gz	downloaded	a4ba01c787235ed47591e97b0ef0de35efe885601f7a63a29cd45dfd24a32b97	Large ICU whole-blood microarray cohort; primary discovery and internal resampling set
GSE95233	Fractalkine receptor CX3CR1 and leukocyte Ig-like receptor B2 LILRB2 are prognostic biomarkers in septic shock	Expression profiling by array	124	external_validation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95233	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95233/matrix/GSE95233_series_matrix.txt.gz	data/raw/geo/GSE95233/GSE95233_series_matrix.txt.gz	downloaded	b27a9a84a3ed85b13bba77d955744be3a4676fd3a7cd80092bf277f73be761c0	Independent septic shock plus healthy-control array cohort for external validation
GSE154918	RNAseq analysis of blood from sepsis patients and healthy controls	Expression profiling by high throughput sequencing	105	cross_platform_validation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154918	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154918/suppl/GSE154918_Schughart_Sepsis_200320.txt.gz	data/raw/geo/GSE154918/GSE154918_Schughart_Sepsis_200320.txt.gz	downloaded	4ebe8eaaf65505d22a2c99303e5cf3eb70011bfc4d71b37bc5db246aab889704	RNA-seq blood cohort for microarray-to-RNA-seq transfer validation; expression matrix lives in GEO supplementary file, while sample metadata was parsed from the series matrix
GSE28750	Development and Validation of a Novel Molecular Biomarker Diagnostic Test for the Early Detection of Sepsis	Expression profiling by array	41	inflammation_confounding_stress_test	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28750	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28750/matrix/GSE28750_series_matrix.txt.gz	data/raw/geo/GSE28750/GSE28750_series_matrix.txt.gz	downloaded	c60534b7e9f82945fd676b0b87d12f622376c38bc0c79e93fe5956d98db748e0	Contains sepsis, post-surgical inflammation, and healthy controls for harder stress testing
GSE69528	A Blood Transcriptional Diagnostic Assay for Septicemic Melioidosis	Expression profiling by array	138	optional_extension	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69528	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69528/matrix/GSE69528_series_matrix.txt.gz	data/raw/geo/GSE69528/GSE69528_series_matrix.txt.gz	optional	pending	Optional heterogeneity extension; only include if it does not dilute the main sepsis benchmark
